FIELD,ID,RA_x,DEC_x,Z_50,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,synth_Av,ir_A_V,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_beta_obs,ir_beta_obs_err,DL,restUjohnson,restVjohnson
GN3,26910,189.27513561,62.273808635,0.2111103322623799,26910,0.0795224,0.4436,0.0,0.835,0.7885,0.0641863,0,0.330894,0.00861056,0.5,0.40965,0.89234,-15.023362,-15.70693,0,0.20865,-1.0,2,0.2291,7.41,0.028773,0.0017021,0.027071,0.21,0.0795224,0.00949183,-0.106516,-0.236,-0.236,0.0,1053.607591484785,,
GN4,26910,189.27513561,62.273808635,0.2094951051830281,26910,0.0795224,0.4436,0.0,0.835,0.7885,0.0641863,0,0.330894,0.00861056,0.5,0.40965,0.89234,-15.023362,-15.70693,0,0.20865,-1.0,2,0.2291,7.41,0.028773,0.0017021,0.027071,0.21,0.0795224,0.00949183,-0.106516,-0.236,-0.236,0.0,1044.5579537384467,,
GN3,27689,189.25178857,62.279172411,0.1076127172138365,27689,0.00363995,0.02798,0.0,0.943,1.4337,0.204505,0,0.35895,0.0245804,0.0,0.59078,1.82769,-12.755035,-14.108228,0,0.11349,-1.0,2,0.1132,7.5,-99.0,-99.0,0.0045372,0.08,0.00363995,0.000679598,-0.0109444,0.0331,0.3496,0.0,503.2879737300313,,
GN4,27689,189.25178857,62.27917241099998,0.1075989215276381,27689,0.00363995,0.02798,0.0,0.943,1.4337,0.204505,0,0.35895,0.0245804,0.0,0.59078,1.82769,-12.755035,-14.108228,0,0.11349,-1.0,2,0.1132,7.5,-99.0,-99.0,0.0045372,0.08,0.00363995,0.000679598,-0.0109444,0.0331,0.3496,0.0,503.21877888521215,,
GN3,27877,189.23304432,62.27914495500001,0.2101315545819764,27877,0.0187198,0.03828,0.0,0.569,0.7061,0.218882,0,0.55632,0.0528688,0.3,0.20953,0.50384,25.961778,25.050666,-1,0.2216,-1.0,3,0.2216,7.14,-99.0,-99.0,0.020207,0.1701,0.0187198,0.00233929,-0.0634625,-1.0875,-1.0875,0.0,1048.1221136260588,,
GN4,27877,189.23304432,62.27914495500001,0.2102076654270029,27877,0.0187198,0.03828,0.0,0.569,0.7061,0.218882,0,0.55632,0.0528688,0.3,0.20953,0.50384,25.961778,25.050666,-1,0.2216,-1.0,3,0.2216,7.14,-99.0,-99.0,0.020207,0.1701,0.0187198,0.00233929,-0.0634625,-1.0875,-1.0875,0.0,1048.5484855933212,,
GN3,30243,189.21445465,62.29254371200002,0.2143951190464114,30243,0.125516,0.1163,0.1,0.106,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,-2.1323,0.0,1072.0545377493343,,
GN5,30243,189.21445465,62.29254371200002,0.2132622579193781,30243,0.125516,0.1163,0.1,0.106,1.6556,1.67093,0,0.16794,0.0709509,0.1,1.25772,2.94513,-16.277786,-16.968648,0,0.2123,0.2123,1,0.2241,8.27,0.13429,0.030605,0.10369,0.21,0.125516,0.00352616,-0.106516,-2.1323,-2.1323,0.0,1065.6859905222043,,
GN3,30727,189.28095568,62.29455529600001,0.1808592583596741,30727,0.0217202,0.02117,0.1,0.113,0.6303,0.282175,0,0.120018,0.0130985,0.0,0.17961,0.46001,-14.806289,-15.481353,-1,0.2833,-1.0,3,0.2833,7.7,0.038764,0.0063821,0.032382,0.25,0.0217202,0.000638879,-0.165181,-2.115,-2.115,0.0,886.4788430492118,,
GN4,30727,189.28095568,62.29455529599998,0.1880356760859567,30727,0.0217202,0.02117,0.1,0.113,0.6303,0.282175,0,0.120018,0.0130985,0.0,0.17961,0.46001,-14.806289,-15.481353,-1,0.2833,-1.0,3,0.2833,7.7,0.038764,0.0063821,0.032382,0.25,0.0217202,0.000638879,-0.165181,-2.115,-2.115,0.0,925.671827595177,,
