,FIELD,ID,RA_x,DEC_x,Z_50,Z_ERR,PAB_FLUX,PAB_FLUX_ERR,OBS_PAB,id3DHST,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,synth_lmass,fast_lmass,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_peak_phot,td_lmass,DL,PAB_L,PAB_L_ERR
12,GS3,42593,53.155797828,-27.71195152799999,0.2447388634159697,0.018347940816205083,2.10359105278168,0.7670305819894769,15957.552228992732,42593,0.130418,0.2694,1.6648,0.0441981,0,0.222708,0.00252128,0.1,,,0.696288,2.56394,-16.03573,-17.124577,0.25358,-1.0,0.2446,8.42,1245.166267327084,3.9021902334842597e+39,1.4228522420577727e+39
13,GS3,38727,53.177301217,-27.730087614,0.1908128143263283,0.04364668682730262,2.00616588853833,1.20052785793792,15266.22027966353,38727,0.0396817,0.05142,1.0206,0.0557097,0,0.503904,0.0102188,0.1,,,0.438501,1.26476,-14.910141,-15.893501,0.24857,-1.0,0.2042,8.02,940.9152780298007,2.125006739150831e+39,1.2716444852499786e+39
3,GS2,49771,53.140583777,-27.67298104899999,0.2749025730921826,0.049702848588614755,1.94538182949105,0.626648079476518,16344.25098704178,49771,0.00139683,4.641,1.1761,0.0999575,0,0.177024,0.00421001,0.0,,,0.179645,0.709814,-12.344618,-13.889921,0.24545,-1.0,0.2113,7.97,1421.969326025348,4.7062797678979075e+39,1.5159909141353398e+39
14,GS3,35433,53.14152524699999,-27.745829142,0.2563797685002024,0.01788699191841885,1.92699766753314,1.31215388335459,16106.788632172596,35433,0.203143,0.2201,1.1426,0.035694,0,0.864042,0.0152462,0.1,,,1.13647,3.17359,-17.078068,-17.878022,0.26934,-1.0,0.2728,8.45,1312.8506434797052,3.973784037463736e+39,2.7058756968011998e+39
15,GS3,37608,53.17089271399998,-27.73565032400001,0.1599141702341826,0.09326119617956592,1.92071620732818,1.29856289506399,14870.099662402221,37608,0.0160059,0.01837,2.0969,0.206129,1,0.527202,0.0340905,0.0,,,0.525783,1.17766,-14.159971,-15.089936,0.1474,-1.0,0.1522,7.44,773.739955614654,1.375769504772241e+39,9.30133886641662e+38
16,GS3,36001,53.153962855,-27.74363426099999,0.012110419801684,0.092992632257246,1.90531486792616,0.43695056585738906,12975.255581857587,36001,0.0242456,82.22,0.2,0.00855036,2,0.038538,0.000470353,0.4,,,0.00555057,0.749118,-15.897177,-18.415116,0.5962,-1.0,0.5962,9.74,52.87056703885704,6.37216660361317e+36,1.4613447100304878e+36
33,GN4,27689,189.25178857,62.27917241099998,0.1075989215276381,0.10442632387769346,1.7394850750542,0.8697092024416689,14199.41817398432,27689,0.00363995,0.02798,1.4337,0.204505,0,0.35895,0.0245804,0.0,7.3432,7.31,0.59078,1.82769,-12.755035,-14.108228,0.11349,-1.0,0.1132,7.5,503.21877905212926,5.2701965863420585e+38,2.634997296355384e+38
36,ERSPRIME,43823,53.077047564,-27.705928456,0.05044940604566672,0.09435750358864999,1.61106514354347,0.467245949767032,13466.76138550545,43823,360.132,123000.0,1.2788,0.0410928,1,0.023676,0.000258051,0.6,,,0.0122597,0.756607,29.473807,26.454274,0.7778,-1.0,0.7778,10.24,226.67515695979338,9.904062696560237e+37,2.87240599782839e+37
17,GS3,34682,53.15581561199998,-27.749144039,0.1040482993612412,0.10993337493545309,1.56574353321087,1.26657837485782,14153.899197811113,34682,0.00523458,0.03803,1.0794,0.0374852,0,0.638094,0.00975548,0.2,,,0.621609,2.21734,-13.041504,-14.517469,0.13769,-1.0,0.1224,7.93,485.44833458964985,4.414678554820758e+38,3.5711700357580164e+38
22,GN3,34154,189.34566771,62.31765223499998,0.06478244284512877,0.09576427130366193,1.2946754656041,0.580158247052411,13650.51091727455,34154,0.0224862,0.02754,0.8428,0.684714,0,0.223632,0.0418958,0.0,7.5395,7.5,0.18048,0.49988,-14.441662,-15.358215,0.0831,-1.0,0.0831,6.7,294.1048684420453,1.339854917510077e+38,6.0040365396473725e+37
26,GS4,26646,53.18153215101032,-27.78797073500447,0.1998051779170048,0.012060308875830024,1.1889637142179,0.679599385030883,15381.502380896,26646,0.167533,0.2697,0.5151,0.0145457,0,0.349662,0.00218237,0.1,,,1.0505,1.69089,-16.047064,-16.475255,0.2122,0.2122,0.2106,7.48,990.5642884067386,1.3958101867763268e+39,7.978306934093585e+38
23,GN3,33249,189.20772202,62.311096125,0.1824334691266667,0.04635517407221667,1.13786797505235,0.7277224443626331,15158.797074203867,33249,0.0776152,0.08495,1.3753,0.742879,0,0.152076,0.0278929,0.5,7.844,7.84,0.70336,1.50404,-15.897715,-16.527162,0.22691,-1.0,0.2218,7.67,895.0516845487041,1.0906377662836229e+39,6.975164066442816e+38
11,GN2,14583,189.19155761,62.21400005700001,0.07495868103977842,0.10351973784798424,0.999825895687207,0.39396603553788395,13780.97029092996,14583,6.16853e-06,0.5847,2.6424,2.41991,0,0.021186,0.00718704,0.0,5.8685,5.95,0.08333,0.66727,-6.934662,-9.550213,0.075,-1.0,0.075,7.45,342.7713832797776,1.4054840592790651e+38,5.538094034514717e+37
3,GN1,37721,189.30178867,62.361079026,0.02696022314004476,0.026920776347973692,0.964817353196662,0.47843014601837996,13165.630060655374,37721,8.87099e-06,3.918e-05,0.2,0.194562,2,0.085314,0.0211322,0.0,6.061,6.07,0.35487,1.85945,-6.623518,-9.14128,0.0362,-1.0,0.0362,7.21,119.04174934743192,1.6358223435534625e+37,8.111656782430262e+36
18,GS3,39564,53.17732428600002,-27.72556110799999,0.2528897508817713,0.06111482420033002,0.9320022706184651,0.427817864551479,16062.04660630431,39564,0.000437621,0.06031,0.4053,0.0262474,2,0.018,0.000427261,0.0,,,0.0960336,0.602453,-11.40354,-13.443428,0.0431,-1.0,0.0431,6.77,1292.4854785614962,1.862776473932159e+39,8.550720082318662e+38
12,GN2,25434,189.2308444598388,62.26632313788414,0.05844717301194464,0.25949017173647543,0.8536031679295419,0.436503557649208,13569.29275801313,25434,0.0119713,480.0,0.3789,0.396094,0,0.040134,0.0118446,0.9,8.9589,8.95,0.1944,1.8818,-13.640356,-16.089361,0.1675,0.0,0.1675,6.48,264.13868071162904,7.125452610797714e+37,3.643713532622185e+37
25,GN3,35455,189.33207441,62.32866916999999,0.2059586465931771,0.15367238943375552,0.8165377454689601,0.5576697608683531,15460.38984932453,35455,0.301975,0.7115,0.9241,0.521552,0,0.217248,0.0349809,0.1,7.8067,7.88,1.0105,1.82397,-16.513325,-16.889318,0.2469,0.2469,0.2474,7.69,1024.7933565974208,1.0259856752564782e+39,7.00716151028668e+38
26,GN3,32992,189.20270309,62.30974446300002,0.06026010973802118,0.045500481680715396,0.791519985676869,0.47802263587090604,13592.534606841431,32992,0.0043295,5.608,0.2,0.0412651,2,0.043002,0.00231066,0.3,8.6501,8.63,0.23656,2.451,-14.075076,-16.664186,0.1785,-1.0,0.1785,8.86,272.6878630703939,7.041836406717283e+37,4.2527760024052113e+37
27,GS4,24491,53.15178043698857,-27.79738718306406,0.01169850368233024,0.06174374122312129,0.7872781704313441,0.7344120002773279,12969.974817207474,24491,0.0335888,0.0475,0.7903,0.0052908,0,0.555024,0.00120319,0.2,,,1.25257,3.69843,-14.760539,-15.980251,0.12693,-1.0,0.1275,7.99,51.05603275808949,2.45535770002519e+36,2.2904790550509662e+36
37,ERSPRIME,42502,53.06568401450761,-27.71184852348733,0.203935072018745,0.026204875422684237,0.748690146294504,0.447394265988508,15434.44762328031,42502,0.0965209,0.114,1.2784,0.104245,0,0.16296,0.0041253,0.3,,,0.589071,1.08151,-15.693983,-16.231899,0.20865,-1.0,0.2183,7.4,1013.5144068058136,9.201410355227926e+38,5.498480582802983e+38
27,GN5,32992,189.2027030898256,62.3097444628046,0.05660877880799556,0.18635753178744294,0.660552650074241,0.33874083485943,13545.724544318504,32992,0.0043295,5.608,0.2,0.0412651,2,0.043002,0.00231066,0.3,8.6501,8.63,0.23656,2.451,-14.075076,-16.664186,0.1785,-1.0,0.1785,8.86,255.4908908899855,5.158823978590541e+37,2.645518629293517e+37
38,ERSPRIME,44831,53.04938884799999,-27.701235239,0.09751987522648196,0.034828630052188024,0.592593137437537,0.49084517697217395,14070.204800403497,44831,0.0846762,56.48,0.2001,0.00700478,0,0.026016,0.000281243,0.1,,,0.0394488,1.99034,-16.573109,-18.743233,0.228,-1.0,0.228,9.05,452.974555499491,1.4547777895999096e+38,1.204993133533584e+38
